customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,0,Yes,Yes,5,Yes,Yes,DSL,No,Yes,No internet,Yes,Yes,No,Month-to-month,No,Credit card,50.71,286.08,Yes
CUST00001,Female,0,Yes,Yes,53,Yes,No,Fiber optic,No internet,No,Yes,No internet,No,No internet,Two year,Yes,Bank transfer,89.08,4872.06,Yes
CUST00002,Male,1,No,No,26,Yes,Yes,DSL,No,Yes,Yes,No internet,No,No,Month-to-month,No,Credit card,79.73,2159.15,Yes
CUST00003,Male,0,Yes,Yes,47,Yes,No phone service,DSL,No internet,No,No internet,No,No,Yes,Month-to-month,Yes,Bank transfer,96.27,4593.32,Yes
CUST00004,Male,1,No,No,72,Yes,Yes,No,No,No internet,Yes,No internet,Yes,Yes,Two year,No,Electronic check,83.41,6074.36,No
CUST00005,Female,0,Yes,No,3,No,Yes,DSL,No internet,No,No,Yes,Yes,Yes,Two year,No,Electronic check,36.56,152.39,No
CUST00006,Male,1,Yes,No,2,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer,80.74,221.21,Yes
CUST00007,Male,0,Yes,No,39,Yes,No,No,No,No,No internet,No,No internet,Yes,Month-to-month,No,Electronic check,75.2,2983.2,No
CUST00008,Male,1,No,Yes,48,Yes,No,DSL,No internet,No internet,Yes,No internet,No,No,Two year,Yes,Electronic check,80.22,3906.97,No
CUST00009,Female,0,Yes,No,21,Yes,Yes,Fiber optic,Yes,No,Yes,No internet,Yes,Yes,Month-to-month,Yes,Bank transfer,51.74,1442.68,Yes
CUST00010,Male,0,Yes,Yes,10,Yes,Yes,No,Yes,No,No,Yes,No,No,One year,No,Bank transfer,67.21,661.44,No
CUST00011,Male,0,No,No,25,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,56.7,1193.48,No
CUST00012,Male,1,Yes,Yes,8,Yes,No phone service,Fiber optic,Yes,No internet,No,No,No internet,No,Month-to-month,Yes,Credit card,75.69,497.86,Yes
CUST00013,Male,0,Yes,No,6,Yes,Yes,DSL,No internet,Yes,No,No internet,Yes,No,One year,No,Electronic check,72.0,544.31,No
CUST00014,Female,1,No,No,16,Yes,No,Fiber optic,Yes,No internet,No,Yes,No internet,No internet,Month-to-month,Yes,Electronic check,69.56,1152.52,Yes
CUST00015,Male,1,Yes,No,5,Yes,No,DSL,Yes,No internet,No internet,Yes,No,Yes,Month-to-month,Yes,Bank transfer,42.14,181.93,Yes
CUST00016,Female,0,No,No,15,Yes,No,Fiber optic,No,No,No,Yes,No internet,No internet,Two year,Yes,Credit card,66.03,1032.63,No
CUST00017,Female,0,No,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet,Month-to-month,Yes,Mailed check,102.61,7481.15,Yes
CUST00018,Female,0,No,No,43,Yes,Yes,DSL,No,No internet,Yes,Yes,No internet,Yes,Month-to-month,Yes,Electronic check,89.5,3903.4,No
CUST00019,Male,0,No,No,68,Yes,Yes,Fiber optic,No,No internet,No,Yes,No,No internet,One year,Yes,Bank transfer,86.47,6023.06,No
CUST00020,Female,0,No,No,39,Yes,Yes,DSL,No,No internet,No,No,No,Yes,One year,No,Credit card,43.76,1895.37,No
CUST00021,Male,0,No,No,10,Yes,No,No,No,No,No internet,No,Yes,Yes,Month-to-month,Yes,Electronic check,48.19,574.38,Yes
CUST00022,Female,0,No,No,40,Yes,Yes,Fiber optic,No internet,Yes,Yes,No,Yes,No internet,One year,Yes,Electronic check,62.55,2496.15,No
CUST00023,Female,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No internet,Month-to-month,Yes,Mailed check,93.3,5826.6,Yes
CUST00024,Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,No,No internet,No,No,No,No,One year,No,Electronic check,91.19,6309.49,No
CUST00025,Female,0,No,No,27,Yes,No phone service,No,No internet,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,76.99,1962.01,No
CUST00026,Female,1,No,No,5,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,52.29,144.05,No
CUST00027,Female,0,Yes,No,0,No,Yes,DSL,No,Yes,No internet,No,No internet,No internet,One year,No,Electronic check,53.19,0.0,No
CUST00028,Female,1,No,No,3,Yes,Yes,No,No,Yes,Yes,No,No internet,No,Month-to-month,Yes,Mailed check,27.09,0.0,Yes
CUST00029,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,79.86,5783.36,Yes
